,Unnamed: 0,id,name,position,lastName,age,gender,country,image,worth_in_BUSD,worthChange_in_MSD,realTimeWorth,realTimePosition,Industry,Company
728,728,8111,Chairul tanjung,677.0,Tanjung,56.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/5a19af124bbe6f37e6586283/416x416.jpg?background=000000&cropX1=834&cropX2=3445&cropY1=0&cropY2=2614,3.5,-0.001,,611.0,Diversified  ,Diversified
729,729,8349,Clemens toennies,678.0,Toennies,62.0,not_gender_given,Germany,https://specials-images.forbesimg.com/imageserve/5a7e0ea631358e4955ad0e48/416x416.jpg?background=000000&cropX1=1543&cropX2=4803&cropY1=14&cropY2=3272,3.5,0.0,,665.0,Food and beverage  ,Meat processing
730,730,6397,Somphote ahunai,679.0,Ahunai,51.0,not_gender_given,not_country_given,https://specials-images.forbesimg.com/imageserve/921717a472f456933b27aa6242dc34c2/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=31&cropY2=775,3.4,0.0,,1431.0,Energy  ,Energy
731,731,1509,Igor altushkin,680.0,Altushkin,47.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/5a80a82031358e4955ad2b29/416x416.jpg?background=000000&cropX1=891&cropX2=4144&cropY1=461&cropY2=3712,3.4,0.0,,747.0,Metals & mining  ,Metals
732,732,3180,Riley bechtel,681.0,Bechtel,66.0,not_gender_given,not_country_given,https://specials-images.forbesimg.com/imageserve/57e0790c31358e16c589ba0f/416x416.jpg?background=000000&cropX1=176&cropX2=614&cropY1=119&cropY2=557,3.4,0.0,,738.0,Construction & engineering  ,"Engineering, construction"
733,733,5391,"Stephen bechtel, jr.",682.0,Bechtel,93.0,M,not_country_given,https:http://specials-images.forbesimg.com/imageserve/57f2a847a7ea435a1e1f60fd/416x416.jpg?background=000000&cropX1=29&cropX2=734&cropY1=52&cropY2=758,3.4,0.0,,739.0,Construction & engineering  ,"Engineering, construction"
734,734,6010,Mike cannon-brookes,683.0,Cannon-brookes,38.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/5a99b8d44bbe6f0fa8272c63/416x416.jpg?background=000000&cropX1=2566&cropX2=3589&cropY1=285&cropY2=1307,3.4,0.0,,483.0,Technology  ,Software
735,735,4945,Rafael del pino y calvo-sotelo,684.0,Del pino y calvo-sotelo,59.0,not_gender_given,not_country_given,https://specials-images.forbesimg.com/imageserve/910e6d8352e21187ae4e0c51f41eb089/416x416.jpg?background=000000&cropX1=394&cropX2=2592&cropY1=167&cropY2=2366,3.4,0.0,,705.0,Construction & engineering  ,Construction
736,736,9604,Antonio del valle ruiz,685.0,Del valle ruiz,79.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/5a7fca614bbe6f2652f53674/416x416.jpg?background=000000&cropX1=364&cropX2=2631&cropY1=4&cropY2=2272,3.4,0.0,,742.0,Manufacturing  ,Chemicals
737,737,3726,Scott farquhar,686.0,Farquhar,38.0,M,not_country_given,https://specials-images.forbesimg.com/imageserve/5a99b8d44bbe6f0fa8272c63/416x416.jpg?background=000000&cropX1=1343&cropX2=2509&cropY1=257&cropY2=1421,3.4,0.0,,484.0,Technology  ,Software
