,id,Unnamed: 0,Source,worth,worthChange,realTimeWorth,realTimePosition
299,8853,351,Healthcare  ==> pharmaceuticals,5.9 BUSD,0.0 millions USD,,320
300,8047,352,"Food and Beverage  ==> candy, pet food",5.9 BUSD,0.0 millions USD,,287
301,8598,353,"Food and Beverage  ==> candy, pet food",5.9 BUSD,0.0 millions USD,,288
302,4951,354,"Food and Beverage  ==> candy, pet food",5.9 BUSD,0.0 millions USD,,289
303,6062,355,"Food and Beverage  ==> candy, pet food",5.9 BUSD,0.0 millions USD,,290
304,5637,356,"Diversified  ==> media, retail",5.8 BUSD,0.0 millions USD,,284
305,2371,357,Diversified  ==> food and beverage,5.8 BUSD,-0.001 millions USD,,556
306,6314,358,Technology  ==> online games,5.8 BUSD,0.0 millions USD,,529
307,8907,359,Fashion & Retail  ==> Walmart,5.8 BUSD,0.0 millions USD,,387
308,3904,360,Real Estate  ==> real estate,5.8 BUSD,0.0 millions USD,,324
309,7651,361,Fashion & Retail  ==> retail & gas stations,5.8 BUSD,0.0 millions USD,,263
310,5359,362,Energy  ==> investments,5.8 BUSD,0.0 millions USD,,317
311,4389,363,"Logistics  ==> construction, mining",5.8 BUSD,0.0 millions USD,,303
312,6081,364,Manufacturing  ==> furniture,5.8 BUSD,0.0 millions USD,,283
313,9460,365,Fashion & Retail  ==> appliance retailer,5.8 BUSD,0.0 millions USD,,245
314,2138,366,Food and Beverage  ==> tequila,5.7 BUSD,0.0 millions USD,,437
315,7382,367,Technology  ==> computer hardware,5.7 BUSD,0.0 millions USD,,246
316,5979,368,Technology  ==> computer hardware,5.7 BUSD,0.0 millions USD,,247
317,9635,369,Manufacturing  ==> heating equipment,5.7 BUSD,0.0 millions USD,,352
318,3026,370,Manufacturing  ==> metalworking tools,5.7 BUSD,0.0 millions USD,,318
319,5131,371,Healthcare  ==> medical devices,5.7 BUSD,0.0 millions USD,,319
320,2239,372,Manufacturing  ==> vacuums,5.6 BUSD,0.0 millions USD,,353
